"Stock.ID","Species","Stock","Region","Sub.Region","UseFlag","BroodYear","TotalEscapement","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R3.1","R3.2","R3.3","R3.4"
140,"Sockeye","Eshamy","PWS","PWS",1,1961,47275,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1962,9390,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,467,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1963,3092,NA,NA,0,0,0,NA,NA,2181,0,0,NA,2961,0,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1964,68129,NA,NA,0,0,0,NA,148042,3973,0,0,1558,122402,NA,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1965,108963,NA,156,0,0,0,467,58836,NA,0,0,3027,NA,NA,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1966,26593,NA,0,0,0,0,568,NA,NA,0,0,NA,NA,0,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1967,10821,NA,NA,0,0,0,NA,NA,4976,0,0,NA,4976,0,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1968,68048,NA,NA,0,0,0,NA,71619,1151,0,0,0,10979,0,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1969,61196,NA,0,0,0,0,0,17853,1475,0,0,218,12626,263,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1970,11460,NA,0,0,0,0,902,5290,778,0,0,295,4425,0,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1971,954,NA,0,0,0,0,0,3122,157,0,0,0,2662,726,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1972,28683,NA,0,0,0,0,778,36054,12445,0,0,274,10324,101,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1973,10202,NA,0,0,0,0,0,32145,201,0,0,0,1862,203,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1974,633,NA,0,0,0,0,223,10265,1656,0,0,50,3752,0,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1975,1724,NA,0,0,0,0,101,27042,0,0,0,0,2566,1646,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1976,19367,NA,0,0,0,0,1149,139991,20872,0,0,0,15670,379,0,0,NA,0,0
140,"Sockeye","Eshamy","PWS","PWS",1,1977,11746,NA,0,0,0,0,0,27654,8800,0,0,0,1956,43,0,0,NA,0,0
