"Stock.ID","Species","Stock","Region","Sub.Region","UseFlag","BroodYear","TotalEscapement","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R3.1","R3.2","R3.3","R3.4","R4.1","R4.2"
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1976,319459,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1977,366936,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1978,112194,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,6728.39692307692,0,NA,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1979,248908,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,54170.6591191063,0,NA,167426.098461538,85142.6277665996,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1980,14227,NA,NA,NA,0,0,NA,NA,446.315743337123,0,0,NA,596052.830896871,156074.108720276,1189.72731383315,4476,177586.647887324,25537.2723247968,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1981,124769,NA,NA,0,0,0,NA,5158.42171206088,0,0,0,13129,402871.551123711,187293.23830353,0,2521,49557.1147697166,14077.0522540984,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1982,41702,NA,0,0,0,0,0,0,5238.54776453918,0,0,1261,290630.878466348,110997.218920735,0,606,34710.6260245902,19631,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1983,220795,0,0,4079.21822544072,0,0,0,4159.99532390836,480.138733289215,31,0,12830,241802.910055289,213452,2069.74830223342,1268,42156,47370.008008008,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1984,131846,0,885.040638418839,0,0,0,0,444.641132756097,30516,937,0,6246,424123,303542.492850563,471,0,271017.61961962,71763.8592142795,0,0,651
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1985,679260,169,0,1084,189,0,0,30165,60235.1003155196,595,0,212,784913.712933104,493743.32104823,461.804833307163,494,421971.861729332,43998.1234491779,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1986,528415,0,893,15518.5384463648,105,0,0,39108.5284787331,57973.9091026834,0,0,978,835214.414290921,114861.848758273,563,1162,655219.334836479,60240,0,0,325
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1987,412157,106,5975.97294542911,17066.7333261044,0,0,201,24702.9605493156,549.858046112892,0,0,1737,226552.017584162,23389,79.4685325806067,2373,320723,54451.27251,0,0,1600.06134457122
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1988,282306,0,2530.94073913432,2423.71367246503,0,0,111,4649.00437500676,3127,0,0,1512,189196,71077.8820365079,0,7249,212648.56681,16740,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1989,758893,0,3554.50032015739,3717,0,0,799,5909,3301.96711493676,0,0,12607,308439.38080784,151212,0,6233.38933,214110,12030,0,0,950
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1990,541891,0,3591,6292.27197805254,0,0,971,16995.0370349051,10310,18,0,3240.79950182471,447371,52479,591,1085,80226,62392,0,0,1095
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1991,831970,0,7112.8345577344,2879,0,0,340.328727787356,16292,8568,52,0,3023,340535,191311,951.606353275567,4731,85334,13107.492233267,0,0,658.739978405418
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1992,614262,0,1567,0,0,0,1923,3880,12234,0,0,6759,57188,76196.1182641228,513.31529908576,5043,138986.56334018,28378.824992,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1993,396288,0,0,2860,0,0,1501,3550,11541.1235629861,36.0328131819711,0,17168,412757.758247156,202912.77587117,0,1362,75590.505556,23522.6451796834,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1994,587258,0,0,1191.94582681564,0,0,198,24717.965766973,17261.4220544585,0,0,4323.05038167939,616349.833769686,159094.109935703,551.354654928814,1008.022832,109890.175408482,41273.5554505487,0,0,821.223968861408
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1995,504977,0,1155.7302541484,3218.91815905727,0,0,0,48766.1147598287,1838.90685648409,0,0,8684.5854230303,353856.779689895,390879.552350251,423.886482680786,5252,129215.6650339,28253.4123,0,0,405.078655624613
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1996,323969,0,540.467997526064,0,0,0,633.042551757576,2969.93861238805,469.356190276446,0,0,107.556414219475,283071.182267252,149444.6858,0,2817,139819.9985,83431,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1997,311902,0,0,0,0,0,407,1473.3549040014,291.254596452212,0,0,21820.7978300181,494043.268,268631,0,18682.1592,235707,12330,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1998,384848,0,0,0,1399,0,135.501265822785,585.518684210587,2716,0,0,33786.8271403934,923141,78063,0,8407,143454,12558,0,0,0
150,"Sockeye","Late Karluk","Kodiak","Kodiak",1,1999,589119,0,0,0,0,0,0,25117,7645,85,0,41401,403399,154603,0,3410,210642,65446,0,0,0
