region,year,species,catch
SSE,1886,chinook,0
SSE,1887,chinook,0
SSE,1888,chinook,0
SSE,1889,chinook,0
SSE,1890,chinook,0
SSE,1891,chinook,0
SSE,1892,chinook,0
SSE,1893,chinook,0
SSE,1894,chinook,0
SSE,1895,chinook,3
SSE,1896,chinook,4
SSE,1897,chinook,5
SSE,1898,chinook,9
SSE,1899,chinook,12
SSE,1900,chinook,0
SSE,1901,chinook,3
SSE,1902,chinook,4
SSE,1903,chinook,0
SSE,1904,chinook,4
SSE,1905,chinook,9
SSE,1906,chinook,3
SSE,1907,chinook,17
SSE,1908,chinook,43
SSE,1909,chinook,34
SSE,1910,chinook,66
SSE,1911,chinook,80
SSE,1912,chinook,152
SSE,1913,chinook,191
SSE,1914,chinook,133
SSE,1915,chinook,119
SSE,1916,chinook,39
SSE,1917,chinook,115
SSE,1918,chinook,122
SSE,1919,chinook,121
SSE,1920,chinook,81
SSE,1921,chinook,54
SSE,1922,chinook,79
SSE,1923,chinook,140
SSE,1924,chinook,49
SSE,1925,chinook,106
SSE,1926,chinook,63
SSE,1927,chinook,69
SSE,1928,chinook,145
SSE,1929,chinook,76
SSE,1930,chinook,220
SSE,1931,chinook,297
SSE,1932,chinook,315
SSE,1933,chinook,341
SSE,1934,chinook,200
SSE,1935,chinook,36
SSE,1936,chinook,399
SSE,1937,chinook,609
SSE,1938,chinook,485
SSE,1939,chinook,152
SSE,1940,chinook,57
SSE,1941,chinook,93
SSE,1942,chinook,378
SSE,1943,chinook,146
SSE,1944,chinook,152
SSE,1945,chinook,257
SSE,1946,chinook,298
SSE,1947,chinook,319
SSE,1948,chinook,266
SSE,1949,chinook,257
SSE,1950,chinook,187
SSE,1951,chinook,211
SSE,1952,chinook,263
SSE,1953,chinook,204
SSE,1954,chinook,169
SSE,1955,chinook,151
SSE,1956,chinook,107
SSE,1957,chinook,121
SSE,1958,chinook,138
SSE,1959,chinook,150
SSE,1960,chinook,124
SSE,1961,chinook,100
SSE,1962,chinook,73
SSE,1963,chinook,84
SSE,1964,chinook,118
SSE,1965,chinook,102
SSE,1966,chinook,113
SSE,1967,chinook,108
SSE,1968,chinook,110
SSE,1969,chinook,95
SSE,1970,chinook,112
SSE,1971,chinook,125
SSE,1972,chinook,142
SSE,1973,chinook,113
SSE,1974,chinook,152
SSE,1975,chinook,144
