"region","year","chinook","chum","coho","pink","sockeye"
"ALU",1911,0,0,0,0,9
"ALU",1912,0,0,0,0,0
"ALU",1913,0,0,0,0,0
"ALU",1914,0,0,0,0,0
"ALU",1915,0,0,0,0,0
"ALU",1916,0,0,1,180,76
"ALU",1917,0,23,4,1,70
"ALU",1918,0,0,4,76,55
"ALU",1919,0,0,1,4,4
"ALU",1920,0,0,3,0,10
"ALU",1921,0,0,0,0,0
"ALU",1922,0,0,0,0,14
"ALU",1923,0,0,0,0,0
"ALU",1924,0,0,0,674,25
"ALU",1925,0,9,0,4,19
"ALU",1926,0,8,0,522,1
"ALU",1927,0,0,0,335,17
"ALU",1928,0,0,0,0,0
"ALU",1929,0,0,0,0,0
"ALU",1930,0,0,0,0,0
"ALU",1931,0,0,0,0,0
"ALU",1932,0,0,0,0,0
"ALU",1933,0,0,0,0,0
"ALU",1934,0,0,0,0,0
"ALU",1935,0,0,0,0,0
"ALU",1936,0,0,0,0,0
"ALU",1937,0,0,0,0,0
"ALU",1938,0,0,0,0,0
"ALU",1939,0,0,0,0,0
"ALU",1940,0,0,0,0,0
"ALU",1941,0,0,0,0,0
"ALU",1942,0,0,0,0,0
"ALU",1943,0,0,0,0,0
"ALU",1944,0,0,0,0,0
"ALU",1945,0,0,0,0,0
"ALU",1946,0,0,0,0,0
"ALU",1947,0,0,0,0,0
"ALU",1948,0,0,0,0,0
"ALU",1949,0,0,0,0,0
"ALU",1950,0,0,0,0,0
"ALU",1951,0,95,0,1,12
"ALU",1952,0,26,0,32,43
"ALU",1953,0,1,1,69,4
"ALU",1954,0,0,1,566,6
"ALU",1955,0,0,0,31,13
"ALU",1956,0,0,0,5,0
"ALU",1957,2,14,0,0,27
"ALU",1958,0,0,0,613,0
"ALU",1959,0,0,0,12,6
"ALU",1960,0,0,0,445,8
"ALU",1961,0,0,0,94,3
"ALU",1962,0,1,0,2002,5
"ALU",1963,0,0,0,90,5
"ALU",1964,0,2,0,194,0
"ALU",1965,0,0,0,0,0
"ALU",1966,0,1,0,63,1
"ALU",1967,0,0,0,8,0
"ALU",1968,0,1,0,894,3
"ALU",1969,0,0,0,242,0
"ALU",1970,0,3,0,642,0
"ALU",1971,0,0,0,45,0
"ALU",1972,0,0,0,3,0
"ALU",1973,0,0,0,2,0
"ALU",1974,0,0,0,0,0
"ALU",1975,0,2,0,1,19
"ALU",1976,0,0,0,0,0
"ALU",1977,0,0,0,0,0
"ALU",1978,0,0,0,38,2
"ALU",1979,0,0,0,539,12
"ALU",1980,0,5,0,2597,9
"ALU",1981,0,7,0,303,5
"ALU",1982,0,6,0,1405,3
"ALU",1983,0,10,0,3,6
"ALU",1984,0,32,2,2271,67
"ALU",1985,0,0,0,0,2
"ALU",1986,0,2,0,41,6
"ALU",1987,0,0,0,0,0
"ALU",1988,0,0,0,183,4
"ALU",1989,0,0,0,7,8
"ALU",1990,0,1,0,283,12
"ALU",1991,0,0,0,0,1
"ALU",1992,0,2,0,320,3
"ALU",1993,0,1,0,0,0
"ALU",1994,0,1,0,860,0
"ALU",1995,0,0,0,0,0
"ALU",1996,0,0,0,0,0
"ALU",1997,0,0,0,0,0
"BER",1896,0,0,0,0,24
"BER",1897,0,0,0,0,39
"BER",1898,0,0,0,0,39
"BER",1899,0,0,0,0,27
"BER",1900,0,0,0,0,106
"BER",1901,0,0,0,0,0
"BER",1902,0,0,0,0,0
"BER",1903,0,0,0,0,0
"BER",1904,0,0,0,0,123
"BER",1905,0,0,0,0,0
"BER",1906,0,0,0,0,54
"BER",1907,0,0,0,0,0
"BER",1908,0,0,0,0,0
"BER",1909,0,0,0,0,0
"BER",1910,0,0,0,0,0
"BER",1911,0,0,0,0,0
"BER",1912,0,0,8,0,41
"BER",1913,0,0,0,0,39
"BER",1914,0,0,0,0,10
"BER",1915,0,0,0,0,106
"BER",1916,0,0,52,14,141
"BER",1917,0,0,78,0,163
"BER",1918,0,0,80,1,173
"BER",1919,0,0,77,0,140
"BER",1920,0,0,64,0,163
"BER",1921,0,0,0,0,121
"BER",1922,0,0,0,0,131
"BER",1923,0,0,25,0,192
"BER",1924,0,0,80,0,87
"BER",1925,0,0,57,0,53
"BER",1926,0,0,53,0,37
"BER",1927,0,0,0,0,0
"BER",1928,0,0,0,0,0
"BER",1929,0,0,0,0,0
"BER",1930,0,0,0,0,0
"BER",1931,0,0,0,0,0
"BER",1932,0,0,0,0,0
"BER",1933,0,0,0,0,20
"BER",1934,0,0,0,0,78
"BER",1935,0,0,0,0,0
"BER",1936,0,0,0,0,50
"BER",1937,0,0,0,0,29
"BER",1938,0,0,0,0,0
"BER",1939,0,0,0,0,0
"BER",1940,0,0,0,0,0
"BER",1941,0,0,0,0,0
"BER",1942,0,0,0,0,0
"BER",1943,0,0,0,0,0
"BER",1944,0,0,0,0,0
"BER",1945,0,0,0,0,0
"BER",1946,0,0,0,0,0
"BER",1947,0,0,0,0,0
"BER",1948,0,0,0,0,0
"BER",1949,0,0,0,0,0
"BER",1950,0,0,0,0,0
"BER",1951,0,0,46,0,4
"BER",1952,0,0,14,0,0
"BER",1953,0,0,0,0,9
"BER",1954,0,0,92,0,0
"BER",1955,0,0,70,0,34
"BER",1956,0,0,53,0,41
"BER",1957,0,0,27,0,29
"BER",1958,0,0,21,0,24
"BER",1959,0,0,59,0,27
"BER",1960,0,0,70,0,33
"BER",1961,1,0,51,0,60
"BER",1962,0,0,56,0,72
"BER",1963,0,0,89,0,23
"BER",1964,0,0,79,0,13
"BER",1965,0,0,52,0,11
"BER",1966,0,0,50,0,25
"BER",1967,0,0,46,0,12
"BER",1968,0,0,67,0,26
"BER",1969,0,0,4,0,38
"BER",1970,0,0,79,0,24
"BER",1971,0,0,88,0,37
"BER",1972,0,0,20,0,52
"BER",1973,0,0,65,0,15
"BER",1974,0,0,29,0,4
"BER",1975,0,0,24,0,22
"BER",1976,0,0,42,0,31
"BER",1977,0,0,47,0,14
"BER",1978,0,2,91,0,34
"BER",1979,0,23,114,7,139
"BER",1980,0,0,109,0,0
"BER",1981,0,8,83,10,56
"BER",1982,0,0,145,0,130
"BER",1983,1,5,118,1,180
"BER",1984,0,23,212,1,99
"BER",1985,0,10,419,0,27
"BER",1986,0,0,115,0,19
"BER",1987,0,0,16,0,17
"BER",1988,0,0,87,0,7
"BER",1989,0,0,27,0,9
"BER",1990,0,0,43,0,8
"BER",1991,0,0,111,0,19
"BER",1992,0,0,126,0,20
"BER",1993,0,0,116,0,34
"BER",1994,0,0,259,0,28
"BER",1995,0,0,282,0,22
"BER",1996,0,0,94,0,38
"BER",1997,0,0,0,0,10
"BRB",1884,0,0,0,0,0
"BRB",1885,0,0,0,0,0
"BRB",1886,0,0,0,0,0
"BRB",1887,0,0,0,0,0
"BRB",1888,0,0,0,0,0
"BRB",1889,0,0,0,0,0
"BRB",1890,0,0,0,0,0
"BRB",1891,0,0,0,0,0
"BRB",1892,0,0,0,0,0
"BRB",1893,44,0,74,0,940
"BRB",1894,11,0,47,0,1235
"BRB",1895,20,0,28,0,1472
"BRB",1896,17,0,245,0,2100
"BRB",1897,20,0,150,35,3318
"BRB",1898,19,0,56,60,4928
"BRB",1899,38,0,100,17,5113
"BRB",1900,58,0,0,8,8547
"BRB",1901,106,0,4,231,10221
"BRB",1902,109,0,194,502,12809
"BRB",1903,87,0,60,242,16320
"BRB",1904,98,37,129,398,11903
"BRB",1905,117,59,78,291,14834
"BRB",1906,143,254,207,1902,10823
"BRB",1907,138,509,129,344,10193
"BRB",1908,90,460,103,399,16234
"BRB",1909,130,378,81,101,15498
"BRB",1910,102,310,139,652,11594
"BRB",1911,113,348,130,92,8815
"BRB",1912,98,355,195,1681,19696
"BRB",1913,74,285,67,425,20582
"BRB",1914,101,567,99,565,20195
"BRB",1915,148,593,130,135,14788
"BRB",1916,105,1490,293,684,17522
"BRB",1917,91,356,62,37,24514
"BRB",1918,87,746,109,619,23091
"BRB",1919,202,204,47,0,7161
"BRB",1920,127,434,153,2045,8898
"BRB",1921,92,355,85,1,15680
"BRB",1922,74,516,160,290,23632
"BRB",1923,67,185,9,0,18182
"BRB",1924,72,285,40,103,10302
"BRB",1925,97,232,17,0,7910
"BRB",1926,75,326,13,288,19414
"BRB",1927,84,196,0,0,11072
"BRB",1928,66,397,5,47,19710
"BRB",1929,151,622,59,0,12189
"BRB",1930,105,227,34,249,4259
"BRB",1931,47,636,1,0,12791
"BRB",1932,68,909,5,172,14940
"BRB",1933,49,256,16,0,23709
"BRB",1934,46,332,12,33,20601
"BRB",1935,4,72,2,0,3023
"BRB",1936,22,259,24,524,20587
"BRB",1937,37,302,2,0,21258
"BRB",1938,46,545,5,0,24700
"BRB",1939,33,935,0,0,13332
"BRB",1940,15,293,25,258,4727
"BRB",1941,31,524,35,0,7154
"BRB",1942,19,169,29,172,6343
"BRB",1943,41,377,2,0,17330
"BRB",1944,16,315,25,55,11546
"BRB",1945,27,635,16,0,7300
"BRB",1946,27,236,51,41,8051
"BRB",1947,42,216,10,0,18642
"BRB",1948,49,497,12,53,14544
"BRB",1949,51,269,26,0,6449
"BRB",1950,45,146,29,32,7157
"BRB",1951,40,157,42,0,4327
"BRB",1952,53,249,5,14,11266
"BRB",1953,43,387,5,0,6112
"BRB",1954,56,401,24,103,4653
"BRB",1955,75,212,21,0,4549
"BRB",1956,66,316,63,92,8881
"BRB",1957,91,259,69,0,6276
"BRB",1958,103,358,136,1136,2986
"BRB",1959,84,482,17,0,4608
"BRB",1960,112,1316,16,302,13705
"BRB",1961,89,728,21,1,11914
"BRB",1962,84,678,39,914,4718
"BRB",1963,62,370,41,0,2871
"BRB",1964,140,803,37,1550,5596
"BRB",1965,113,361,8,1,24255
"BRB",1966,77,343,34,2493,9314
"BRB",1967,117,476,54,1,4331
"BRB",1968,104,364,93,1936,2793
"BRB",1969,125,392,81,2,6617
"BRB",1970,140,857,15,457,20354
"BRB",1971,123,832,13,0,9584
"BRB",1972,70,418,15,127,2825
"BRB",1973,44,1063,57,0,761
"BRB",1974,46,913,44,940,1362
"BRB",1975,30,888,46,0,4899
"BRB",1976,96,1489,27,1037,5617
"BRB",1977,131,1791,107,5,4878
"BRB",1978,192,1270,94,5160,9928
"BRB",1979,208,941,74,4,20737
"BRB",1980,95,1650,348,2565,22373
"BRB",1981,237,2182,314,7,25603
"BRB",1982,253,1239,620,1492,15103
"BRB",1983,199,1632,128,0,37372
"BRB",1984,102,2023,575,3366,24710
"BRB",1985,120,1068,163,0,23703
"BRB",1986,94,1227,182,401,15776
"BRB",1987,75,1529,65,0,16069
"BRB",1988,45,1470,203,956,13990
"BRB",1989,40,1259,240,0,28735
"BRB",1990,34,1055,103,497,33444
"BRB",1991,30,1290,118,0,25821
"BRB",1992,69,921,192,500,31880
"BRB",1993,86,838,73,0,40463
"BRB",1994,141,895,175,90,35224
"BRB",1995,99,980,49,0,44269
"BRB",1996,87,827,125,38,29592
"BRB",1997,77,318,50,0,12159
"CHG",1888,0,0,0,0,13
"CHG",1889,0,0,0,0,560
"CHG",1890,0,0,0,0,453
"CHG",1891,0,0,0,0,775
"CHG",1892,0,0,0,0,522
"CHG",1893,0,0,64,0,600
"CHG",1894,0,0,0,0,600
"CHG",1895,0,0,0,0,683
"CHG",1896,3,0,57,0,850
"CHG",1897,0,0,11,6,765
"CHG",1898,0,1,1,0,1165
"CHG",1899,0,0,13,18,904
"CHG",1900,0,1,2,52,1047
"CHG",1901,0,0,7,40,907
"CHG",1902,0,0,0,0,1782
"CHG",1903,0,0,9,84,1150
"CHG",1904,0,0,0,28,1690
"CHG",1905,0,0,0,0,1297
"CHG",1906,0,0,0,0,1324
"CHG",1907,0,0,1,0,1623
"CHG",1908,0,0,0,0,1631
"CHG",1909,0,0,0,0,1731
"CHG",1910,0,0,37,17,1315
"CHG",1911,0,15,8,23,1078
"CHG",1912,2,28,19,55,1331
"CHG",1913,0,91,24,30,833
"CHG",1914,1,32,34,80,1057
"CHG",1915,2,65,30,56,1330
"CHG",1916,1,89,46,267,1003
"CHG",1917,1,125,13,10,1457
"CHG",1918,1,344,21,396,1543
"CHG",1919,1,137,35,5,885
"CHG",1920,1,152,22,298,1773
"CHG",1921,0,221,13,31,1829
"CHG",1922,1,213,15,360,1249
"CHG",1923,1,88,19,9,643
"CHG",1924,0,111,94,1015,877
"CHG",1925,1,102,30,43,713
"CHG",1926,1,265,32,677,511
"CHG",1927,1,171,101,187,456
"CHG",1928,0,123,66,46,786
"CHG",1929,2,185,37,73,1049
"CHG",1930,0,50,19,68,21
"CHG",1931,1,46,40,170,715
"CHG",1932,1,50,25,812,1578
"CHG",1933,1,120,53,325,596
