"Stock.ID","Species","Stock","Region","Sub.Region","UseFlag","BroodYear","TotalEscapement","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R2.5","R3.1","R3.2","R3.3","R3.4","R4.2","R4.3"
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1922,352807,0,0,0,0,0,0,43667,382956,0,0,0,73351,991979,2886,0,0,14972,4175,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1923,213781,0,0,0,0,0,0,74884,410194,2360,0,218,245187,577390,1647,0,0,1111,2376,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1924,910521,0,0,0,0,0,0,126685,1003422,1115,0,1819,8350,102217,425,0,0,5830,55,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1925,677566,0,0,0,0,0,0,3736,51222,332,0,0,195414,427580,5367,0,0,7817,456,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1926,695314,0,0,0,0,0,0,25764,279018,3461,0,919,304619,879220,55,0,0,3821,2246,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1927,429525,0,0,0,0,0,207,113952,951950,744,0,1499,100633,203942,1225,0,0,1586,5557,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1928,1020520,0,0,0,0,0,0,40063,353506,12047,0,0,77224,300603,1042,0,0,3129,1618,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1929,914307,0,0,0,0,0,0,16254,584561,5675,0,0,38873,361557,2192,0,0,1165,1251,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1930,359405,0,0,0,0,0,0,26688,426128,6177,0,0,41867,344419,2065,0,0,16565,0,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1931,631986,0,0,0,0,0,0,30856,296899,3747,0,2454,138440,264858,2678,0,0,0,635,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1932,1113859,0,0,0,0,0,0,24809,475759,8530,0,0,46764,185288,13674,0,0,2049,1502,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1933,310088,0,0,0,0,0,0,35679,311946,48795,0,0,35705,321467,1267,0,0,0,301,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1934,447642,0,0,0,0,0,0,19716,708212,4066,0,90,33934,88027,4299,0,0,969,1026,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1935,462469,0,0,0,0,0,69,37642,148352,13842,0,308,16893,299288,4082,0,0,3284,976,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1936,376838,0,0,0,0,0,0,9342,504624,13186,0,43,57326,284707,9326,0,0,3117,2233,0,0,0
152,"Sockeye","Chignik Lake","Chignik","Chignik",1,1937,406618,0,0,0,0,0,33,31723,480250,30220,0,145,54435,651642,2664,0,0,7116,639,0,0,0
