"Stock.ID","Species","Stock","Region","Sub.Region","UseFlag","BroodYear","TotalEscapement","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R3.1","R3.2","R3.3","R3.4"
139,"Sockeye","Coghill","PWS","PWS",1,"1962",26866,NA,NA,NA,NA,NA,0,17815,34021,NA,NA,NA,2195,489,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1963",63984,NA,NA,NA,NA,NA,159,4391,53756,NA,NA,NA,318,5325,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1964",22200,NA,NA,NA,NA,NA,0,32538,124343,NA,NA,NA,4154,2095,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1965",62500,NA,NA,NA,NA,NA,224,25199,48915,NA,NA,NA,1634,1694,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1966",82500,NA,NA,NA,NA,NA,267,9913.00000000001,54766,NA,NA,NA,303,20909.2696861343,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1967",33000,NA,NA,NA,NA,NA,0,3751,140137.954628526,NA,NA,NA,1396.32769169646,8046.79105153319,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1968",11800,NA,NA,NA,NA,NA,0,22525.617322209,108119.716904254,NA,NA,NA,3219.3006857105,3643,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1969",81000,NA,NA,NA,NA,NA,0,12896.1913585018,60811,NA,NA,NA,7908,10133,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1970",35200,NA,NA,NA,NA,NA,0,49280,158164,NA,NA,NA,8803,4619,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1971",15000,NA,NA,NA,NA,NA,115,5604,32566,NA,NA,NA,2782,5661,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1972",51000,NA,NA,NA,NA,NA,0,29452,164079,NA,NA,NA,6691,18346,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1973",55000,NA,NA,NA,NA,NA,0,25454,203097,NA,NA,NA,3332,1805,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1974",22334,NA,NA,NA,NA,NA,455,21031,76250,NA,NA,NA,10499,2589.7026,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1975",34855,NA,NA,NA,NA,NA,0,38347,136669.5862,NA,NA,NA,7713.3582,8798.5243,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1976",9056,NA,NA,NA,NA,NA,90,52433.7306,99913.3924999999,NA,NA,NA,12716.6399,8377.1027,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1977",31562,NA,NA,NA,NA,NA,1980.6224,137082.7729,1108256.29,NA,NA,NA,1772.6023,1956,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1978",42284,NA,NA,NA,NA,NA,655.6704,8798.80610000001,51329,NA,NA,NA,2139,7381,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1979",48281,NA,NA,NA,NA,NA,270.471,17439,105297,NA,NA,NA,6351,21049.436,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1980",142253,NA,NA,NA,NA,NA,162,37780,344020.063,NA,NA,NA,51571.503,40122.242,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1981",156112,NA,NA,NA,NA,NA,436,92478.0740000001,355917.2286,NA,NA,NA,14589.9566,32817,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1982",180314,NA,NA,NA,NA,NA,154.75558215,58604.13537,546985,NA,NA,NA,5829,586,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1983",38783,NA,NA,NA,NA,NA,71.095,11755,86810,NA,NA,NA,448,7213,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1984",63622,NA,NA,NA,NA,NA,1347,64775,133744,NA,NA,NA,2112,1108.296,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1985",163342,NA,NA,NA,NA,NA,31,1682,12950.644,NA,NA,NA,1169.868,764.17078055618,NA,NA,NA,NA,NA
139,"Sockeye","Coghill","PWS","PWS",1,"1986",74135,NA,NA,NA,NA,NA,34,4371.612,17266.1289877018,NA,NA,NA,82.6130573574249,5163.629,NA,NA,NA,NA,NA
